applicant_id,employment_type,credit_score,applicant_income,loan_amount,default
1,Contract,731.0,78406.0,8301.0,0
2,Contract,717.0,59130.0,6699.0,0
3,Salaried,713.0,71809.0,4456.0,1
4,Salaried,625.0,41497.0,20290.0,1
5,Salaried,652.0,64193.0,10890.0,0
6,Self-Employed,693.0,33349.0,13317.0,0
7,Self-Employed,553.0,90792.0,10816.0,1
8,Contract,617.0,35404.0,15399.0,1
9,Salaried,638.0,39108.0,20249.0,1
10,Salaried,625.0,39281.0,18153.0,1
11,Salaried,652.0,30239.0,22194.0,1
12,Self-Employed,648.0,61110.0,19578.0,0
13,Salaried,750.0,32161.0,10862.0,0
14,Salaried,624.0,109536.0,21070.0,1
15,Salaried,550.0,47631.0,2006.0,1
16,Contract,567.0,47074.0,13408.0,0
17,Self-Employed,583.0,84491.0,15951.0,1
18,Self-Employed,654.0,99879.0,19393.0,0
19,Contract,702.0,66364.0,12428.0,0
20,Salaried,,28553.0,22473.0,1
21,Salaried,595.0,49878.0,14954.0,1
22,Self-Employed,681.0,75693.0,10549.0,0
23,Salaried,758.0,48173.0,25261.0,0
24,Salaried,628.0,51235.0,20754.0,1
25,Salaried,637.0,73311.0,12859.0,1
26,Self-Employed,699.0,64861.0,18745.0,0
27,Self-Employed,679.0,96054.0,6779.0,1
28,Salaried,583.0,68499.0,15114.0,1
29,Salaried,486.0,48666.0,3354.0,1
30,Self-Employed,559.0,73496.0,17041.0,1
31,Salaried,725.0,46986.0,18488.0,0
32,Salaried,562.0,51403.0,17833.0,1
33,Salaried,,72526.0,23036.0,1
34,Contract,,82686.0,1000.0,0
35,Salaried,608.0,52329.0,27035.0,1
36,Self-Employed,568.0,69769.0,23555.0,1
37,Salaried,617.0,46677.0,15907.0,1
38,Self-Employed,611.0,57318.0,9177.0,1
39,Self-Employed,723.0,66517.0,8751.0,0
40,Salaried,656.0,43513.0,14997.0,1
41,Self-Employed,805.0,78395.0,10623.0,0
42,Contract,720.0,39719.0,11943.0,0
43,Self-Employed,671.0,28875.0,23774.0,1
44,Salaried,555.0,62856.0,12316.0,1
45,Salaried,643.0,63618.0,12100.0,1
46,Contract,607.0,64727.0,10851.0,0
47,Contract,656.0,32082.0,18353.0,0
48,Contract,607.0,87166.0,11733.0,1
49,Salaried,610.0,51018.0,15175.0,1
50,Salaried,759.0,71626.0,7183.0,0
51,Self-Employed,642.0,23794.0,11367.0,1
52,Salaried,,61782.0,16662.0,1
53,Salaried,620.0,56081.0,20351.0,1
54,Self-Employed,659.0,71986.0,14332.0,1
55,Contract,758.0,61903.0,9062.0,0
56,Salaried,577.0,34915.0,6594.0,1
57,Contract,651.0,42121.0,17710.0,1
58,Self-Employed,624.0,63881.0,3582.0,0
59,Self-Employed,692.0,67251.0,19238.0,0
60,Salaried,564.0,110525.0,22362.0,1
61,Self-Employed,738.0,45979.0,14985.0,0
62,Salaried,686.0,49036.0,21139.0,0
63,Salaried,666.0,27397.0,1215.0,0
64,Self-Employed,589.0,31401.0,14299.0,1
65,Contract,657.0,49288.0,13328.0,0
66,Self-Employed,756.0,41274.0,10554.0,0
67,Self-Employed,,76958.0,16542.0,1
68,Salaried,601.0,67401.0,21005.0,1
69,Salaried,593.0,48042.0,3486.0,1
70,Self-Employed,571.0,30732.0,12303.0,1
71,Salaried,725.0,56445.0,13901.0,0
72,Salaried,599.0,40202.0,2622.0,0
73,Self-Employed,614.0,69657.0,10314.0,0
74,Self-Employed,665.0,60770.0,13001.0,0
75,Salaried,536.0,30268.0,13819.0,1
76,Contract,640.0,58768.0,15223.0,1
77,Self-Employed,706.0,90640.0,13033.0,1
78,Salaried,739.0,18630.0,14439.0,1
79,Salaried,685.0,50798.0,24013.0,1
80,Salaried,607.0,56123.0,13733.0,1
81,Self-Employed,683.0,67491.0,30204.0,1
82,Self-Employed,645.0,46784.0,12085.0,1
83,Self-Employed,650.0,42907.0,13483.0,1
84,Salaried,,64920.0,8234.0,0
85,Contract,557.0,62769.0,11010.0,1
86,Self-Employed,573.0,75033.0,7395.0,1
87,Salaried,768.0,53371.0,22878.0,0
88,Self-Employed,585.0,84385.0,32805.0,1
89,Contract,650.0,48511.0,18965.0,0
90,Self-Employed,548.0,49947.0,1000.0,1
91,Salaried,656.0,53548.0,15609.0,0
92,Self-Employed,675.0,50068.0,21330.0,0
93,Salaried,558.0,42839.0,31635.0,1
94,Salaried,731.0,27616.0,11125.0,1
95,Self-Employed,635.0,89105.0,10662.0,0
96,Self-Employed,774.0,39739.0,22512.0,0
97,Self-Employed,591.0,55527.0,21451.0,1
98,Self-Employed,673.0,66824.0,9249.0,0
99,Salaried,744.0,81002.0,23065.0,0
100,Contract,728.0,76778.0,18692.0,0
101,Self-Employed,739.0,52882.0,10725.0,0
102,Self-Employed,707.0,48609.0,26946.0,1
103,Self-Employed,659.0,62325.0,25803.0,0
104,Contract,703.0,84795.0,15468.0,0
105,Contract,679.0,28273.0,11320.0,1
106,Salaried,618.0,45053.0,20072.0,1
107,Contract,689.0,45807.0,13469.0,1
108,Salaried,717.0,47093.0,10100.0,0
109,Salaried,701.0,20887.0,6954.0,0
110,Contract,490.0,40116.0,4243.0,1
111,Salaried,651.0,74156.0,18485.0,1
112,Salaried,652.0,81822.0,24023.0,1
113,Salaried,,103053.0,8228.0,0
114,Self-Employed,697.0,56489.0,15269.0,0
115,Salaried,717.0,21492.0,20946.0,1
116,Contract,716.0,68780.0,25695.0,1
117,Salaried,673.0,50789.0,6241.0,1
118,Contract,732.0,62220.0,8548.0,0
119,Salaried,606.0,19682.0,7061.0,1
120,Salaried,674.0,60894.0,7213.0,1
121,Salaried,760.0,58032.0,22806.0,0
